timestamp,gaze_x,gaze_y,blink,gaze_dir,head_status,ear_left,ear_right
2.7957,0.38177,0.65763,0,<- LEFT,FORWARD,0.329,0.2849
2.8569,0.38241,0.65763,0,<- LEFT,FORWARD,0.3185,0.2895
2.9165,0.38626,0.65769,0,<- LEFT,FORWARD,0.3225,0.2849
2.978,0.38675,0.65803,0,<- LEFT,FORWARD,0.3288,0.2589
3.0299,0.38693,0.65813,0,<- LEFT,FORWARD,0.3327,0.2725
3.0964,0.39027,0.65767,0,<- LEFT,FORWARD,0.3406,0.2725
3.152,0.39069,0.65755,0,<- LEFT,FORWARD,0.3372,0.2938
3.2238,0.39567,0.65833,0,<- LEFT,FORWARD,0.3074,0.2352
3.2966,0.40171,0.65847,0,<- LEFT,FORWARD,0.2793,0.2567
3.3635,0.40229,0.65873,0,<- LEFT,FORWARD,0.287,0.2491
3.4263,0.41135,0.65953,0,<- LEFT,FORWARD,0.287,0.2564
3.4897,0.41536,0.6595,0,<- LEFT,FORWARD,0.2829,0.2564
3.5532,0.41579,0.6589,0,<- LEFT,FORWARD,0.289,0.275
3.5934,0.42383,0.65881,0,<- LEFT,FORWARD,0.3084,0.2854
3.6647,0.43152,0.65791,0,<- LEFT,FORWARD,0.2857,0.2998
3.7288,0.4291,0.65708,0,<- LEFT,FORWARD,0.2985,0.2947
3.7881,0.44071,0.65682,0,<- LEFT,FORWARD,0.2985,0.3127
3.8515,0.44118,0.65756,0,<- LEFT,FORWARD,0.2985,0.3089
3.9139,0.44154,0.65788,0,<- LEFT,FORWARD,0.2985,0.3309
3.9853,0.44434,0.66032,0,<- LEFT,FORWARD,0.2903,0.3127
4.0366,0.44533,0.66111,0,<- LEFT,FORWARD,0.2617,0.3072
4.1064,0.44451,0.66107,0,<- LEFT,FORWARD,0.2764,0.3127
4.1665,0.44362,0.66147,0,<- LEFT,FORWARD,0.2903,0.309
4.2336,0.44332,0.66143,0,<- LEFT,FORWARD,0.2903,0.3126
4.2892,0.44212,0.66159,0,<- LEFT,FORWARD,0.2903,0.3089
4.347,0.44101,0.66179,0,<- LEFT,FORWARD,0.2769,0.3126
