trial_number,method,stimulus,typed_response,is_correct,trial_start_time,trial_end_time,typing_duration_sec,spacebar_count,backspace_count,char_count,word_count
1,covert,this computer has a large screen,this computer,False,2026-08-25T11:41:39.798235,2026-08-25T11:41:52.417434,12.619,3,0,13,2
2,covert,the computer is running slowly,the computer is running slow,False,2026-08-25T11:42:00.450301,2026-08-25T11:42:19.526125,19.076,4,0,28,5
