participant_name,trial_number,method,stimulus,typed_response,is_correct,trial_start_time,trial_end_time,typing_duration_sec,spacebar_count,backspace_count,char_count,word_count,letter_timestamps
janantik,1,covert,Brick quiz whangs jumpy veldt fox.,brick quiz whfangs jumpy  veidft fox,False,2026-09-09T16:10:53.842561,2026-09-09T16:14:19.273714,205.431,6,4,36,6,"[[""b"", 0.0], [""r"", 3.117], [""i"", 6.451], [""c"", 8.645], [""k"", 12.947], [""<SP>"", 18.616], [""q"", 25.167], [""i"", 32.707], [""<BS>"", 37.658], [""u"", 41.677], [""i"", 43.85], [""z"", 48.423], [""<SP>"", 51.977], [""w"", 58.73], [""h"", 63.852], [""f"", 64.969], [""a"", 68.064], [""n"", 82.747], [""v"", 89.444], [""<BS>"", 97.834], [""g"", 106.96], [""s"", 109.62], [""d"", 110.824], [""<BS>"", 114.794], [""<SP>"", 118.038], [""j"", 125.066], [""u"", 127.145], [""m"", 129.929], [""p"", 134.818], [""y"", 137.974], [""<SP>"", 140.053], [""<SP>"", 144.798], [""v"", 145.674], [""e"", 152.052], [""i"", 156.865], [""d"", 164.158], [""f"", 165.097], [""y"", 168.02], [""<BS>"", 175.563], [""t"", 182.555], [""<SP>"", 187.263], [""f"", 189.916], [""o"", 193.313], [""x"", 197.04]]"
janantik,2,covert,"The jay, pig, fox, zebra and my wolves quack!",theb ja7gy [,False,2026-09-09T16:14:32.748849,2026-09-09T16:15:51.681732,78.933,2,6,12,3,"[[""t"", 0.0], [""h"", 3.332], [""e"", 9.067], [""b"", 11.939], [""<SP>"", 16.359], [""j"", 21.05], [""a"", 27.134], [""7"", 30.264], [""g"", 32.473], [""y"", 34.487], [""y"", 35.727], [""i"", 37.319], [""i"", 48.958], [""<BS>"", 52.768], [""<BS>"", 54.649], [""<BS>"", 55.99], [""0"", 58.147], [""0"", 58.409], [""i"", 59.388], [""<BS>"", 62.721], [""<BS>"", 63.647], [""<BS>"", 64.715], [""<SP>"", 75.884], [""["", 76.725]]"
