participant_name,trial_number,method,stimulus,typed_response,is_correct,trial_start_time,trial_end_time,typing_duration_sec,spacebar_count,backspace_count,char_count,word_count,letter_timestamps
sayantika,1,overt,grass,grass,True,2026-09-11T16:23:11.358777,2026-09-11T16:23:44.467556,33.109,0,2,5,1,"[[""g"", 0.0], [""g"", 0.657], [""<BS>"", 10.068], [""<BS>"", 10.732], [""g"", 14.235], [""r"", 19.246], [""a"", 22.702], [""s"", 25.292], [""s"", 26.807]]"
sayantika,2,overt,help,help,True,2026-09-11T16:24:39.561870,2026-09-11T16:25:05.503960,25.942,0,1,4,1,"[[""h"", 0.0], [""e"", 4.887], [""l"", 10.296], [""l"", 12.429], [""<BS>"", 17.758], [""p"", 21.897]]"
sayantika,3,overt,Jackdaws love my big sphinx of quartz.,jackdaws love my  big,False,2026-09-11T16:26:05.645526,2026-09-11T16:28:03.146748,117.501,4,5,21,4,"[[""j"", 0.0], [""a"", 5.018], [""c"", 8.758], [""k"", 12.755], [""d"", 19.143], [""a"", 24.506], [""a"", 25.064], [""<BS>"", 32.96], [""w"", 37.711], [""s"", 40.032], [""<SP>"", 43.301], [""l"", 47.861], [""o"", 52.329], [""v"", 56.929], [""e"", 60.393], [""<SP>"", 63.475], [""m"", 65.936], [""y"", 71.024], [""<SP>"", 78.842], [""<SP>"", 79.378], [""b"", 86.179], [""b"", 86.912], [""<BS>"", 89.768], [""<BS>"", 90.249], [""b"", 94.515], [""i"", 97.032], [""g"", 99.656], [""g"", 100.527], [""]"", 103.897], [""<BS>"", 105.556], [""<BS>"", 108.468]]"
sayantika,4,overt,"Sphinx of black quartz, judge my vow",sphinx of  big quartzz,False,2026-09-11T16:28:59.708571,2026-09-11T16:31:03.661547,123.953,4,3,22,4,"[[""s"", 0.0], [""p"", 5.316], [""h"", 8.926], [""i"", 11.912], [""n"", 17.115], [""x"", 21.704], [""<SP>"", 27.03], [""o"", 30.546], [""f"", 34.173], [""<SP>"", 37.306], [""<SP>"", 37.703], [""b"", 40.428], [""i"", 45.347], [""g"", 48.613], [""<SP>"", 54.297], [""o"", 57.413], [""f"", 60.633], [""g"", 64.12], [""<BS>"", 68.261], [""<BS>"", 68.45], [""<BS>"", 71.084], [""q"", 77.52], [""u"", 85.602], [""a"", 91.572], [""r"", 95.893], [""t"", 98.99], [""z"", 104.927], [""z"", 105.247]]"
