participant_name,trial_number,method,stimulus,typed_response,is_correct,trial_start_time,trial_end_time,typing_duration_sec,spacebar_count,backspace_count,char_count,word_count,letter_timestamps
sayantika,1,overt,night,night,True,2026-09-08T16:28:07.286810,2026-09-08T16:28:24.410231,17.123,0,0,5,1,"[[""n"", 0.0], [""i"", 4.208], [""g"", 7.112], [""h"", 9.654], [""t"", 12.176]]"
sayantika,2,overt,music,music,True,2026-09-08T16:28:49.867515,2026-09-08T16:29:09.834204,19.967,0,0,5,1,"[[""m"", 0.0], [""u"", 3.545], [""s"", 7.344], [""i"", 12.133], [""c"", 15.535]]"
sayantika,3,overt,How vexingly quick daft zebras jump!,how  viexngl,False,2026-09-08T16:29:32.727404,2026-09-08T16:31:12.806317,100.079,3,9,12,2,"[[""h"", 0.0], [""o"", 2.568], [""o"", 3.014], [""<BS>"", 6.479], [""w"", 13.118], [""<SP>"", 18.209], [""<SP>"", 18.589], [""v"", 20.435], [""i"", 24.113], [""e"", 26.918], [""e"", 27.498], [""<BS>"", 31.676], [""x"", 36.265], [""<SP>"", 40.285], [""]"", 44.055], [""<BS>"", 46.196], [""<BS>"", 47.464], [""n"", 52.578], [""n"", 53.087], [""<BS>"", 57.395], [""v"", 61.766], [""<BS>"", 66.056], [""<BS>"", 67.472], [""n"", 73.566], [""g"", 78.096], [""l"", 84.003], [""h"", 88.036], [""<BS>"", 91.403], [""y"", 94.43], [""<BS>"", 98.374]]"
sayantika,4,overt,Jackdaws love my big sphinx of quartz.,jackdaws loves myy,False,2026-09-08T16:31:36.229128,2026-09-08T16:33:12.540941,96.312,2,7,18,3,"[[""j"", 0.0], [""a"", 3.208], [""c"", 6.756], [""n"", 9.505], [""<BS>"", 12.871], [""k"", 17.366], [""d"", 21.21], [""d"", 21.518], [""<BS>"", 27.951], [""<BS>"", 28.454], [""d"", 32.982], [""a"", 35.936], [""w"", 38.238], [""s"", 40.539], [""<SP>"", 43.367], [""l"", 47.876], [""o"", 50.663], [""v"", 54.46], [""r"", 58.163], [""<BS>"", 63.452], [""e"", 67.698], [""s"", 71.139], [""<SP>"", 74.128], [""m"", 75.866], [""h"", 78.432], [""["", 81.783], [""<BS>"", 82.167], [""-"", 83.418], [""<BS>"", 84.516], [""<BS>"", 85.015], [""y"", 90.981], [""y"", 91.549]]"
