participant_name,trial_number,method,stimulus,typed_response,is_correct,trial_start_time,trial_end_time,typing_duration_sec,spacebar_count,backspace_count,char_count,word_count,letter_timestamps
sabya,1,overt,the back yard of our house,the backyard of our house,False,2026-08-25T13:44:46.783026,2026-08-25T13:45:09.817891,23.035,4,1,25,5,"[[""t"", 0.0], [""h"", 0.856], [""h"", 1.201], [""<BS>"", 2.082], [""e"", 3.377], [""<SP>"", 3.977], [""b"", 4.594], [""a"", 5.273], [""c"", 5.826], [""k"", 6.497], [""y"", 7.049], [""a"", 7.617], [""r"", 8.346], [""d"", 9.801], [""<SP>"", 11.09], [""o"", 11.947], [""f"", 12.867], [""<SP>"", 13.57], [""o"", 16.905], [""u"", 17.344], [""r"", 17.849], [""<SP>"", 18.506], [""h"", 19.125], [""o"", 20.307], [""u"", 20.805], [""s"", 21.405], [""e"", 21.781]]"
sabya,2,overt,what a monkey sees a monkey will do,whatt,False,2026-08-25T13:45:32.224573,2026-08-25T13:45:35.485185,3.261,0,0,5,1,"[[""w"", 0.0], [""h"", 0.618], [""a"", 1.138], [""t"", 2.034], [""t"", 2.323]]"
