participant_name,trial_number,method,stimulus,typed_response,is_correct,trial_start_time,trial_end_time,typing_duration_sec,spacebar_count,backspace_count,char_count,word_count,letter_timestamps
satyajit,1,overt,cloud,cloud,True,2026-09-08T16:12:39.185298,2026-09-08T16:13:13.335738,34.15,0,1,5,1,"[[""6"", 0.0], [""<BS>"", 4.978], [""c"", 9.399], [""l"", 15.201], [""o"", 18.592], [""u"", 22.53], [""d"", 28.22]]"
satyajit,2,overt,house,house,True,2026-09-08T16:13:34.229445,2026-09-08T16:14:08.293828,34.064,0,1,5,1,"[[""7"", 0.0], [""<BS>"", 6.361], [""h"", 10.682], [""o"", 15.996], [""u"", 18.288], [""s"", 23.191], [""e"", 28.315]]"
satyajit,3,overt,A quick move of the enemy will jeopardize six gunboats.,a quick move of the enemy,False,2026-09-08T16:14:28.992865,2026-09-08T16:17:06.229953,157.237,5,4,25,6,"[[""7"", 0.0], [""<BS>"", 7.759], [""a"", 13.948], [""<SP>"", 16.64], [""q"", 22.241], [""u"", 26.395], [""i"", 29.036], [""c"", 33.805], [""k"", 37.723], [""<SP>"", 40.101], [""m"", 42.718], [""o"", 48.347], [""v"", 53.015], [""e"", 60.026], [""<SP>"", 65.806], [""o"", 69.766], [""f"", 72.432], [""<SP>"", 77.398], [""t"", 81.035], [""h"", 84.226], [""e"", 88.694], [""g"", 91.992], [""<BS>"", 98.827], [""<SP>"", 104.367], [""e"", 109.315], [""n"", 113.796], [""r"", 116.781], [""<BS>"", 121.472], [""e"", 128.537], [""m"", 135.818], [""y"", 140.859], [""b"", 143.09], [""<BS>"", 149.384]]"
satyajit,4,overt,"The jay, pig, fox, zebra and my wolves quack!","the jay, pig",False,2026-09-08T16:17:29.804169,2026-09-08T16:18:46.655875,76.852,2,3,12,3,"[[""t"", 0.0], [""h"", 5.385], [""e"", 9.546], [""<SP>"", 14.227], [""j"", 17.506], [""d"", 19.028], [""<BS>"", 26.002], [""a"", 33.849], [""6"", 36.709], [""<BS>"", 42.545], [""y"", 46.316], ["","", 51.868], [""<SP>"", 55.859], [""l"", 60.493], [""<BS>"", 63.289], [""p"", 66.147], [""i"", 68.277], [""g"", 72.475]]"
