method,num_trials,num_participants,wpm_mean,wpm_std,wpm_median,cpm_mean,cpm_std,cpm_median,tct_sec_mean,tct_sec_std,tct_sec_median,cer_mean,cer_std,cer_median,kspc_mean,kspc_std,kspc_median,backspace_rate_mean,backspace_rate_std,backspace_rate_median,mean_iki_mean,mean_iki_std,mean_iki_median,sd_iki_mean,sd_iki_std,sd_iki_median,long_pause_rate_mean,long_pause_rate_std,long_pause_rate_median,mean_correction_time_mean,mean_correction_time_std,mean_correction_time_median,iei_mean,iei_std,iei_median,clpi_mean,clpi_std,clpi_median,accuracy_pct
overt,17,5,2.197419153387021,0.5665574298430568,2.042379371968343,10.987095766935104,2.8327871492152843,10.211896859841715,75.88158823529412,58.28890265635778,58.755,28.812613626855114,34.15724098079951,0.0,1.3165794786383023,0.3827366569744898,1.2666666666666666,9.68351847864731,9.021462675089401,10.526315789473683,4.258267260708445,0.7762694510061454,4.43075,1.4056338830278263,0.6135863462643207,1.448915686527918,75.6108961268505,21.572757303270915,78.125,5.291981673881673,1.4266979480062012,4.978,1.2453123576507465,1.3111203849585957,1.5059610960050203,0.40752234246561087,0.09688427175112738,0.425578348316853,52.94117647058824
covert,8,4,2.143874358518934,0.26031838455481,2.1603178345809244,10.719371792594671,1.3015919227740504,10.801589172904622,170.28275000000002,45.98258973863292,180.1985,23.92376622833279,30.222046171654927,8.781512605042018,1.292701914098973,0.2928424538538613,1.1944444444444446,9.903848058882383,6.533186806845493,8.116883116883116,4.459189894995886,0.7377854281560716,4.437453124999999,2.1274032796901547,0.8024573084549689,1.7003551921111049,78.02638017224265,15.325880006066466,83.29861111111111,5.632708333333333,1.9232532577000787,5.561083333333332,0.28438488871291806,0.804361933103544,0.0,0.47100389344898386,0.07897023522195631,0.44746717608095776,12.5
