participant_name,method,wpm,cpm,tct_sec,cer,kspc,backspace_rate,mean_iki,sd_iki,long_pause_rate,mean_correction_time,iei,clpi,accuracy_pct,num_trials
arjit,covert,2.325772682767461,11.628863413837305,193.30200000000002,1.3888888888888888,1.1464285714285714,5.760869565217391,4.437231623931624,1.5762695383339178,85.98290598290598,5.83208333333333,1.1375395548516722,0.4199927262705412,50.0,2
arkajyoti-cse,covert,2.1669778706690126,10.834889353345064,198.348,2.7799227799227797,1.142156862745098,6.203007518796992,5.002977257745551,2.5336011019439253,82.39947264337508,3.6354166666666736,0.0,0.4634962075933031,0.0,2
brittick,overt,2.2355102385820063,11.17755119291003,79.3825,22.896191646191646,1.154054054054054,5.7936507936507935,4.520902777777778,1.6081209524075484,73.23232323232324,5.995875000000002,1.1185983400891668,0.38444319877001565,50.0,4
janantik,covert,1.9636139456368162,9.818069728184081,142.18200000000002,48.464052287581694,1.6111111111111112,17.045454545454547,3.95909757330637,2.818749218178872,57.78564206268958,5.561083333333332,0.0,0.5599061131323653,0.0,2
satyajit,overt,1.8250060346781434,9.125030173390716,75.57575,31.96969696969697,1.405,14.339826839826838,4.588496323529411,1.3996797078201944,83.01164215686275,5.733937499999998,0.7539310577360736,0.4326740856308055,50.0,4
sayantika,overt,2.5476478839547867,12.738239419773933,58.37025,34.57602339181287,1.5694444444444444,12.96875,3.3182876112347053,1.1956801895337335,59.72608453837597,3.726849206349205,1.6272542622969082,0.4130408583587678,50.0,4
shaubhik,covert,2.1191329350024466,10.59566467501223,147.29899999999998,43.062200956937794,1.2711111111111113,10.606060606060606,4.437453124999999,1.580993260303904,85.9375,7.502250000000002,0.0,0.44062052679972574,0.0,2
ssa,overt,2.9592365169786192,14.796182584893096,121.653,0.0,1.2666666666666666,10.526315789473683,3.192405405405405,1.2026061620834476,54.054054054054056,3.962999999999999,2.647737936244028,0.35284555093818487,100.0,1
ttri,overt,1.991058115435248,9.95529057717624,78.75500000000001,33.01169590643275,1.150297619047619,5.421146953405017,4.871847794117647,1.4698116125859233,91.86274509803921,5.933799999999997,1.1308593758325172,0.413600424984711,50.0,4
